genus,cultivar_name,trade_name,introduced_year,originator,patent_id,parentage,source_url,popularity_basis,verification_status,notes
Epipremnum,Golden Pothos,Golden Pothos,unknown,unknown,unknown,unknown,https://costafarms.com/blogs/plant-finder/pothos,Core mass-market pothos variety in commercial guide.,commercial-source only,Often confused with species/common plant labels; needs cultivar-name normalization.
Epipremnum,Neon,Neon Pothos,unknown,unknown,unknown,unknown,https://costafarms.com/blogs/plant-finder/pothos,Core mass-market pothos cultivar in commercial guide.,commercial-source only,No patent found in collected pass.
Epipremnum,Sao Paulo,Sao Paulo,2025 (patent grant; market-release year unknown),Tai Yam,PP37025,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/373,Recent patented Epipremnum target; legal watchlist.,patent located; details incomplete,Needs full patent review.
Syngonium,Neon Robusta,Neon Robusta,2007 (patent grant; asexually propagated since June 2003),Randall E. Strode,USPP18013P2,unknown; patent verifies cultivar denomination and asexual propagation history but collected pass did not capture parentage.,https://patents.google.com/patent/USPP18013P2/en,Common pink Syngonium in mass-market and specialty trade.,verified patent; parentage incomplete,"Agri-Starts commercial listing also verifies PP18,013."
Syngonium,Confetti,Confetti,2007 (patent grant; market-release year not separately verified),Randall E. Strode,PP18016,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/374,Common speckled/pink Syngonium; patent class listing.,verified patent listing; parentage incomplete,Needs full patent page extraction.
Syngonium,CLA 20230912,unknown,2024 (patent grant),Chen Shih Jhe,PP36275,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/374,Recent patented speckled Syngonium target.,verified patent listing; parentage incomplete,Trade name may not yet be public-facing or was not captured.
Syngonium,Milk Confetti,Milk Confetti,unknown,unknown,unknown,unknown,https://www.mercerbotanicals.com/products/syngonium/neon-robusta-pp-18013.html,High-demand hobbyist Syngonium target; included due cultivar family adjacency.,hobby/commercial-source weak; details unknown,No strong authority source captured in this pass; row retained as target only.
Syngonium,Berry Allusion,Berry Allusion,unknown,unknown,unknown,unknown,https://www.mercerbotanicals.com/products/syngonium/neon-robusta-pp-18013.html,Popular Syngonium retail cultivar family; included for target coverage.,hobby/commercial-source weak; details unknown,Needs nursery/registry/patent expansion.
Alocasia,Dawn,Dawn / Alocasia Dawn,2023 (patent grant; selected for commercialization after stability confirmation),unknown,PP35010,"Naturally occurring whole-plant mutation of unnamed Alocasia macrorrhiza variegata; discovered in 2018 at a commercial shade house in Miami, Florida.",https://patents.justia.com/patent/PP35010,Big-box rare/variegated Alocasia release; patent and commercial listings.,verified patent parentage; originator incomplete,Nature's Way/Amazon listing also references PP35010 and limited release.
Alocasia,Green Unicorn,Green Unicorn,2023 (patent grant),unknown,PP35554,Unnamed unpatented Alocasia azlanii female × Alocasia baginda 'Dragon Scale' male; controlled cross made July 2021.,https://patents.justia.com/patent/PP35554,High-interest hybrid Alocasia; patented collector cultivar.,verified patent,Inventor/originator should be cross-checked in full patent metadata.
Alocasia,Dark Star,Dark Star,2016 (patent grant; market-release year not separately verified),LariAnn Garner,PP29870,unknown in collected source pass,https://patents.justia.com/inventor/lariann-garner,Known LariAnn Garner hybrid/collector Alocasia.,patent located; parentage incomplete,Needs full patent extraction.
Alocasia,Dragon Wings,Dragon Wings,2025 (patent grant),David Fell,PP36932,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/373,Recent patented Alocasia target from commercial tropical breeding pipeline.,verified patent listing; parentage incomplete,Needs full patent page extraction.
Alocasia,Silver Wings,Silver Wings,2025 (patent grant),David Fell,PP36933,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/373,Recent patented Alocasia target from commercial tropical breeding pipeline.,verified patent listing; parentage incomplete,Needs full patent page extraction.
Alocasia,White Dragon,White Dragon,2025 (patent grant),David Fell,PP36966,unknown in collected source pass,https://patents.justia.com/inventor/david-fell,High-demand Alocasia trade name; recent patent listing.,verified patent listing; parentage incomplete,Needs full patent page extraction.
Alocasia,Black Velvet,Black Velvet,unknown,unknown,unknown,unknown,https://costafarms.com/blogs/plant-finder/alocasia,Very common commercial/collector Alocasia cultivar target.,commercial-source only,No patent found in collected pass.
Aglaonema,Siam Aurora,Siam Aurora / Red Aglaonema,unknown,unknown,unknown,unknown,https://www.homedepot.com/p/Costa-Farms-Trending-Tropicals-Red-Aglaonema-Siam-Aurora-Plant-in-6-in-Grower-Pot-CO-3-AGLA-SI/312317153,Popular big-box red Aglaonema cultivar.,commercial-source only,No patent found in collected pass.
Aglaonema,Queen of Siam,Queen of Siam,1989 (patent publication/grant cycle; market-release year unknown),unknown,USPP6842P,unknown in collected source pass,https://patents.google.com/patent/USPP6842P/en,Legacy patented Aglaonema cultivar target.,patent located; details incomplete,Needs full patent review.
Aglaonema,KKAG1201,unknown,2014 (patent grant),Kanchana Khemakongkanond,PP24626,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Patented pink/cream Aglaonema line; target for trade-name crosswalk.,verified patent listing,Trade name not captured.
Aglaonema,KKAG201303,unknown,2015 (patent grant),Kanachana Khemakongkanond,PP25358,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Patented Aglaonema line; target for trade-name crosswalk.,verified patent listing,Trade name not captured.
Aglaonema,KKAG201302,unknown,2015 (patent grant),Kanachana Khemakongkanond,PP25359,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Patented pink/cream Aglaonema line; target for trade-name crosswalk.,verified patent listing,Trade name not captured.
Aglaonema,KKAG201301,unknown,2015 (patent grant),Kanachana Khemakongkanond,PP25379,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Patented red/green Aglaonema line; target for trade-name crosswalk.,verified patent listing,Trade name not captured.
Aglaonema,MUKGEMPREM,unknown,2019 (patent grant),Parthasarathy Mukundan,PP30080,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Patented commercial Aglaonema line; target for trade-name crosswalk.,verified patent listing,Trade name not captured.
Aglaonema,MUKCALSUP,unknown,2019 (patent grant),Parthasarathy Mukundan,PP30081,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Patented commercial Aglaonema line; target for trade-name crosswalk.,verified patent listing,Trade name not captured.
Aglaonema,OSVAG2,unknown,2021 (patent grant),David Kirwan,PP33645,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Recent patented Aglaonema line; target for trade-name crosswalk.,verified patent listing,Trade name not captured.
Aglaonema,Sumalee,Sumalee,2023 (patent grant),Paiboon Ployphommas,PP35252,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/376,Recent patented colorful Aglaonema line.,verified patent listing,Full patent page extraction recommended for parentage.
Begonia,Sophie Cecile,Sophie Cecile / Sylvia (synonym reported in iBegonias source),"1959 (ABS origin year; iBegonias lists 1961, conflict noted)",Belva Kusler,unknown,"ABS: B. aconitifolia × B. 'Lenore Olivier'; iBegonias gives parent order as 'Lenore Olivier' × aconitifolia, so parent order is conflicting.",https://www.begonias.org/cultivar-preservation/registered-cultivars/,Classic cane/superba Begonia cultivar; appears in ABS registry.,verified ABS registry; conflicting secondary source year/order,Use ABS as primary unless full registration scan says otherwise.
Begonia,Flamingo Queen,Flamingo Queen,1990 (ABS origin year; published 2002 Jan/Feb),Ross Bolwell,unknown,U078 × Begonia 'Lenore Olivier'.,https://www.begonias.org/cultivar-preservation/registered-cultivars/,Popular cane-like Begonia in specialty collections; ABS registry row captured.,verified ABS registry,Origin location AUS-NSW in ABS row.
Begonia,Looking Glass,Looking Glass,unknown,unknown,unknown,"unknown in collected source pass; ABS registry search showed other cultivars using Looking Glass as a parent, but did not capture the Looking Glass registration row.",https://www.rhs.org.uk/plants/195856/begonia-looking-glass/details,Widely sold silver cane Begonia; RHS plant page exists.,RHS/commercial-source only; parentage unknown,Needs ABS row extraction or cultivar-register lookup.
Begonia,Corallina de Lucerna,Lucerna / Corallina de Lucerna,unknown,unknown,unknown,unknown in collected source pass,https://www.begonias.org/cultivar-preservation/registered-cultivars/,Classic cane Begonia target; ABS registry search shows Lucerna-linked entries but not extracted parentage.,authority source searched; row incomplete,Needs targeted ABS full-table lookup.
Begonia,Sterling Moon,Lunar Lights™ Sterling Moon,2021 (patent grant; commercial introductions continuing in nursery catalogs),"Ozzie W. Johnson, Jr.",PP33164,unknown in collected source pass,https://patents.justia.com/patent/PP33164,Commercial hardy Begonia release; Southern Living/Plants Nouveau catalog presence.,verified patent,Southern Living lists Begonia hybrid 'Sterling Moon' PP33164.
Begonia,Canary Wing,Canary Wings,2016 (patent grant; public market debut noted around 2019 in horticulture posts),Jared Edward Hughes,PP27149,"Naturally occurring branch mutation of a plant grown from seed of Begonia seed strain Dragon Wing, per commercial plant database; patent states hybrid origin.",https://patents.justia.com/patents-by-us-classification/PLT/343?page=2,Widely marketed chartreuse Begonia; Ball/GPN culture report; patent.,verified patent listing; parentage from commercial plant database,Cultivar spelling appears as Canary Wing in patent and Canary Wings in trade.
Begonia,Summer Storm,Summer Storm,2024 (patent grant),John Boggan,PP36127,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/343,Recent patented Begonia target.,verified patent listing; parentage incomplete,Needs full patent page extraction.
Begonia,First Blush,TESSDARK / First Blush,2015 (patent grant),Frederic C. Yates,PP25974,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/343?page=2,Patented Begonia target; cultivar/trade-name crosswalk needed.,patent located in Justia class listing; details incomplete,Needs full patent page extraction.
Begonia,Plum Paisley,Plum Paisley,2017 (patent grant; market release unknown),"Ozzie W. Johnson, Jr.",unknown,unknown in collected source pass,https://patents.justia.com/patents-by-us-classification/PLT/343?page=2,Patented/registered Begonia target from commercial breeding pipeline.,Justia class-list target; patent ID not captured in collected pass,Needs full Justia page extraction.
Begonia,Escargot,Escargot,unknown,unknown,unknown,unknown in collected source pass,https://www.logees.com/begonia-escargot-begonia-rex-cultorum.html,Very popular Rex Begonia cultivar in commercial catalogs.,commercial-source only,No authority/patent data captured in this pass.
